,Aduguete,Aldeia dos Anjos,Aldeia dos Redondos,Alto dos Crespos,Arroteia,Assanha da Paz,Barrocal,Barros da Paz,Carregueiro,Carrinhos,Carvalhais,Casal Fernão João,Casal Velho,Casalinho,Caseirinhos,Catela,Cavadinha,Charneca,Charneca do Vale Coimbra,Cotrofe,Cumieira,Escoural,Estrada,Flandes,Fonte Nova,Granja,Malhos,Mancos,Mendes,Motes,Olival das Lobas,Outeiro da Cruz,Outeiro das Galegas,Pinheirinho do Barroco,Pombal,Ponte da Assamassa,Pousios,Ranha de Baixo,Residual,Roussa,Santorum,Travasso,Valdeira,Vale,Vale de Cubas,Vicentes,Vinagres,Total
Aduguete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,1,0,0,0,0,0,0,19
Aldeia dos Anjos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,23,0,0,9,0,0,0,0,0,87
Aldeia dos Redondos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,32,0,4,3,0,0,0,0,0,86
Alto dos Crespos,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,38,0,0,0,28,0,0,0,0,0,0,0,0,86
Arroteia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,0,0,0,29
Assanha da Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,12
Barrocal,0,4,0,0,0,0,0,0,0,0,0,1,0,23,5,0,0,12,0,0,0,0,0,0,14,4,0,5,0,0,0,0,0,0,174,0,0,0,63,0,31,5,0,0,0,0,0,341
Barros da Paz,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40,0,0,0,27,0,1,0,0,0,0,0,0,82
Carregueiro,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,58,0,0,0,14,0,7,3,0,0,0,0,0,103
Carrinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,27,0,0,0,18,0,6,0,0,0,0,0,0,58
Carvalhais,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,45,0,7,4,0,0,0,0,0,167
Casal Fernão João,0,4,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,15,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,193,0,0,0,59,4,14,0,0,0,0,0,0,306
Casal Velho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,17,0,0,0,15,0,4,0,0,0,0,2,0,49
Casalinho,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,127,0,0,0,50,0,9,0,0,0,0,0,0,218
Caseirinhos,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,15,3,0,13,0,0,0,0,0,0,269,0,0,0,110,0,5,0,0,0,0,0,0,435
Catela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,22,0,0,0,18,0,7,0,0,0,0,0,0,61
Cavadinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,55,0,0,0,24,0,8,3,0,0,0,6,0,109
Charneca,0,1,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,57,0,0,0,0,0,0,35,11,0,24,0,0,0,0,0,0,754,0,0,0,144,5,20,8,0,0,0,67,0,1138
Charneca do Vale Coimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,3,0,0,0,0,0,0,30
Cotrofe,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,47,0,0,0,15,0,0,0,0,0,0,3,0,83
Cumieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,35,0,0,0,8,0,4,0,0,0,0,1,0,55
Escoural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,57,0,0,0,9,0,2,0,0,0,0,0,0,91
Estrada,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,45,0,0,0,24,0,3,0,0,0,0,0,0,104
Flandes,0,1,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,8,0,0,0,0,0,0,7,4,0,16,0,0,0,0,0,0,199,0,0,0,47,0,16,0,0,0,0,0,0,326
